=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  14,263 artists without images


  [11351/14263] (79.6%) | Deezer: 3929 | MusicBrainz: 0 | Not found: 7422   
  [11401/14263] (79.9%) | Deezer: 3946 | MusicBrainz: 0 | Not found: 7455   
  [11451/14263] (80.3%) | Deezer: 3960 | MusicBrainz: 0 | Not found: 7491   
  [11501/14263] (80.6%) | Deezer: 3979 | MusicBrainz: 0 | Not found: 7522   
  [11551/14263] (81.0%) | Deezer: 3989 | MusicBrainz: 0 | Not found: 7562   
  [11601/14263] (81.3%) | Deezer: 4004 | MusicBrainz: 0 | Not found: 7597   
  [11651/14263] (81.7%) | Deezer: 4017 | MusicBrainz: 0 | Not found: 7634   
  [11701/14263] (82.0%) | Deezer: 4036 | MusicBrainz: 0 | Not found: 7665   
  [11751/14263] (82.4%) | Deezer: 4044 | MusicBrainz: 0 | Not found: 7707   
  [11801/14263] (82.7%) | Deezer: 4061 | MusicBrainz: 0 | Not found: 7740   
  [11851/14263] (83.1%) | Deezer: 4078 | MusicBrainz: 0 | Not found: 7773   
  [11901/14263] (83.4%) | Deezer: 4091 | MusicBrainz: 0 | Not found: 7810   
  [11951/14263] (83.8%) | Deezer: 4106 | MusicBrainz: 0 | Not found: 7845   
  [12001/14263] (84.1%) | Deezer: 4126 | MusicBrainz: 0 | Not found: 7875   
  [12051/14263] (84.5%) | Deezer: 4143 | MusicBrainz: 0 | Not found: 7908   
  [12101/14263] (84.8%) | Deezer: 4156 | MusicBrainz: 0 | Not found: 7945   
  [12151/14263] (85.2%) | Deezer: 4177 | MusicBrainz: 0 | Not found: 7974   
  [12201/14263] (85.5%) | Deezer: 4199 | MusicBrainz: 0 | Not found: 8002   
  [12251/14263] (85.9%) | Deezer: 4215 | MusicBrainz: 0 | Not found: 8036   
  [12301/14263] (86.2%) | Deezer: 4229 | MusicBrainz: 0 | Not found: 8072   
  [12351/14263] (86.6%) | Deezer: 4244 | MusicBrainz: 0 | Not found: 8107   
  [12401/14263] (86.9%) | Deezer: 4257 | MusicBrainz: 0 | Not found: 8144   
  [12451/14263] (87.3%) | Deezer: 4274 | MusicBrainz: 0 | Not found: 8177   
  [12501/14263] (87.6%) | Deezer: 4289 | MusicBrainz: 0 | Not found: 8212   
  [12551/14263] (88.0%) | Deezer: 4298 | MusicBrainz: 0 | Not found: 8253   
  [12601/14263] (88.3%) | Deezer: 4322 | MusicBrainz: 0 | Not found: 8279   
  [12651/14263] (88.7%) | Deezer: 4340 | MusicBrainz: 0 | Not found: 8311   
  [12701/14263] (89.0%) | Deezer: 4355 | MusicBrainz: 0 | Not found: 8346   
  [12751/14263] (89.4%) | Deezer: 4371 | MusicBrainz: 0 | Not found: 8380   
  [12801/14263] (89.7%) | Deezer: 4389 | MusicBrainz: 0 | Not found: 8412   
  [12851/14263] (90.1%) | Deezer: 4408 | MusicBrainz: 0 | Not found: 8443   
  [12901/14263] (90.5%) | Deezer: 4421 | MusicBrainz: 0 | Not found: 8480   
  [12951/14263] (90.8%) | Deezer: 4436 | MusicBrainz: 0 | Not found: 8515   
  [13001/14263] (91.2%) | Deezer: 4454 | MusicBrainz: 0 | Not found: 8547   
  [13051/14263] (91.5%) | Deezer: 4471 | MusicBrainz: 0 | Not found: 8580   
  [13101/14263] (91.9%) | Deezer: 4487 | MusicBrainz: 0 | Not found: 8614   
  [13151/14263] (92.2%) | Deezer: 4502 | MusicBrainz: 0 | Not found: 8649   
  [13201/14263] (92.6%) | Deezer: 4519 | MusicBrainz: 0 | Not found: 8682   
  [13251/14263] (92.9%) | Deezer: 4531 | MusicBrainz: 0 | Not found: 8720   
