=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  17,669 artists without images


  [13451/17669] (76.1%) | Deezer: 7072 | MusicBrainz: 0 | Not found: 6379   
  [13501/17669] (76.4%) | Deezer: 7110 | MusicBrainz: 0 | Not found: 6391   
  [13551/17669] (76.7%) | Deezer: 7138 | MusicBrainz: 0 | Not found: 6413   
  [13601/17669] (77.0%) | Deezer: 7166 | MusicBrainz: 0 | Not found: 6435   
  [13651/17669] (77.3%) | Deezer: 7191 | MusicBrainz: 0 | Not found: 6460   
  [13701/17669] (77.5%) | Deezer: 7227 | MusicBrainz: 0 | Not found: 6474   
  [13751/17669] (77.8%) | Deezer: 7252 | MusicBrainz: 0 | Not found: 6499   
  [13801/17669] (78.1%) | Deezer: 7282 | MusicBrainz: 0 | Not found: 6519   
  [13851/17669] (78.4%) | Deezer: 7310 | MusicBrainz: 0 | Not found: 6541   
  [13901/17669] (78.7%) | Deezer: 7335 | MusicBrainz: 0 | Not found: 6566   
  [13951/17669] (79.0%) | Deezer: 7356 | MusicBrainz: 0 | Not found: 6595   
  [14001/17669] (79.2%) | Deezer: 7384 | MusicBrainz: 0 | Not found: 6617   
  [14051/17669] (79.5%) | Deezer: 7404 | MusicBrainz: 0 | Not found: 6647   
  [14101/17669] (79.8%) | Deezer: 7432 | MusicBrainz: 0 | Not found: 6669   
  [14151/17669] (80.1%) | Deezer: 7454 | MusicBrainz: 0 | Not found: 6697   
  [14201/17669] (80.4%) | Deezer: 7476 | MusicBrainz: 0 | Not found: 6725   
  [14251/17669] (80.7%) | Deezer: 7500 | MusicBrainz: 0 | Not found: 6751   
  [14301/17669] (80.9%) | Deezer: 7534 | MusicBrainz: 0 | Not found: 6767   
  [14351/17669] (81.2%) | Deezer: 7556 | MusicBrainz: 0 | Not found: 6795   
  [14401/17669] (81.5%) | Deezer: 7584 | MusicBrainz: 0 | Not found: 6817   
  [14451/17669] (81.8%) | Deezer: 7610 | MusicBrainz: 0 | Not found: 6841   
  [14501/17669] (82.1%) | Deezer: 7634 | MusicBrainz: 0 | Not found: 6867   
  [14551/17669] (82.4%) | Deezer: 7658 | MusicBrainz: 0 | Not found: 6893   
  [14601/17669] (82.6%) | Deezer: 7685 | MusicBrainz: 0 | Not found: 6916   
  [14651/17669] (82.9%) | Deezer: 7717 | MusicBrainz: 0 | Not found: 6934   
  [14701/17669] (83.2%) | Deezer: 7735 | MusicBrainz: 0 | Not found: 6966   
  [14751/17669] (83.5%) | Deezer: 7761 | MusicBrainz: 0 | Not found: 6990   
  [14801/17669] (83.8%) | Deezer: 7789 | MusicBrainz: 0 | Not found: 7012   
  [14851/17669] (84.1%) | Deezer: 7811 | MusicBrainz: 0 | Not found: 7040   
  [14901/17669] (84.3%) | Deezer: 7839 | MusicBrainz: 0 | Not found: 7062   
  [14951/17669] (84.6%) | Deezer: 7869 | MusicBrainz: 0 | Not found: 7082   
  [15001/17669] (84.9%) | Deezer: 7896 | MusicBrainz: 0 | Not found: 7105   
  [15051/17669] (85.2%) | Deezer: 7919 | MusicBrainz: 0 | Not found: 7132   
  [15101/17669] (85.5%) | Deezer: 7943 | MusicBrainz: 0 | Not found: 7158   
