
=== Ticketline Scraper — 2026-04-20T17:30:24.105Z ===
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-01
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-02
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-02
  [Nadia Reid] @ Halle at St Michael's, Manchester — 2026-04-25
  [Belle Chen] @ Halle at St Michael's, Manchester — 2026-05-08
  [ROBERTO FONSECA III] @ Halle St Peter's, Manchester — 2026-05-10
  [Jerron Paxton] @ Halle St Peter's, Manchester — 2026-05-21
  [WONK UNIT] @ The Star & Garter, Manchester — 2026-05-16
  [Nora Brown & Stephanie Coleman] @ Manchester YES The Pink Room, Manchester — 2026-05-28
  [Charlie Parr] @ Manchester YES Basement, Manchester — 2026-05-25
  [Nubiyan Twist] @ Manchester New Century Hall, Manchester — 2026-04-24
  [O.] @ Manchester New Century Hall, Manchester — 2026-04-24
  [Jonathan Van Ness] @ Manchester Albert Hall, Manchester — 2026-05-21
  [Lloyd Banks (G-Unit)] @ The Blues Kitchen Manchester, Manchester — 2026-04-23
  [A Night Of Fleetwood Mac] @ The Blues Kitchen Manchester, Manchester — 2026-04-29
  [Panjabi Hit Squad] @ The Blues Kitchen Manchester, Manchester — 2026-04-30
  [Celebrating Amy Winehouse: 20 Years Of Back To Black] @ The Blues Kitchen Manchester, Manchester — 2026-05-06
  [Cult Of The Damned] @ The Blues Kitchen Manchester, Manchester — 2026-05-07
  [Celebrating Drake: 15 Years Of Take Care] @ The Blues Kitchen Manchester, Manchester — 2026-05-20
  [An Evening With Silk Sonic: Celebrating 5 Years] @ The Blues Kitchen Manchester, Manchester — 2026-05-21
  [Carla J Easton] @ Low Four Studio, Manchester — 2026-05-28
  [Hunxho] @ Manchester Academy, Manchester — 2026-04-23
  [Oasis Supernova - The Maine Event 30th Anniversary] @ Manchester Academy, Manchester — 2026-04-25
  [Cooper Alan - To The Pub Tour] @ Manchester Academy, Manchester — 2026-04-26
  [Puressence] @ Manchester Academy, Manchester — 2026-05-02
  [Stephen Sanchez] @ Manchester Academy, Manchester — 2026-05-06
  [Carly Pearce] @ Manchester Academy, Manchester — 2026-05-14
  [Sienna Spiro] @ Manchester Academy, Manchester — 2026-05-16
  [Jamie Hutchinson: Can My Mate Come? He's Sound] @ Manchester Academy, Manchester — 2026-05-24
  [Kortez] @ Manchester Academy, Manchester — 2026-05-31
  [Femi Kuti & The Positive Force] @ Manchester Academy 2, Manchester — 2026-04-24
  [Marla Kether] @ Manchester Academy 2, Manchester — 2026-04-24
  [The Scratch] @ Manchester Academy 2, Manchester — 2026-04-25
  [Hypocrisy] @ Manchester Academy 2, Manchester — 2026-05-01
  [Natalie Jane] @ Manchester Academy 2, Manchester — 2026-05-02
  [Balu Brigada] @ Manchester Academy 2, Manchester — 2026-05-03
  [Melanie C] @ Manchester Academy 2, Manchester — 2026-05-06
  [Screeching Weasel] @ Manchester Academy 2, Manchester — 2026-05-08
  [Larry Fleet] @ Manchester Academy 2, Manchester — 2026-05-11
  [Rico Ace] @ Manchester Academy 2, Manchester — 2026-05-13
  [Florence Road] @ Manchester Academy 2, Manchester — 2026-05-14
  [Maddox Batson] @ Manchester Academy 2, Manchester — 2026-05-15
  [The Longest Johns] @ Manchester Academy 2, Manchester — 2026-05-16
  [Pishro, Arta & Koorosh] @ Manchester Academy 2, Manchester — 2026-05-17
  [Dave Formula & Noko Play Songs From Under The Floorboards] @ Manchester Academy 2, Manchester — 2026-05-23
  [We Lost The Sea] @ Manchester Academy 2, Manchester — 2026-05-24
  [Don West] @ Manchester Academy 2, Manchester — 2026-05-28
  [The Lemon Twigs] @ Manchester Academy 2, Manchester — 2026-05-30
  [Texas Is The Reason] @ Manchester Academy 2, Manchester — 2026-05-31
  [Erasured] @ Manchester Academy 3, Manchester — 2026-04-24
  [Solence] @ Manchester Academy 3, Manchester — 2026-05-01
  [Syntara] @ Manchester Academy 3, Manchester — 2026-05-02
  [Paledusk] @ Manchester Academy 3, Manchester — 2026-05-08
  [Pearl Scam] @ Manchester Academy 3, Manchester — 2026-05-09
  [Angry Hair (Alice In Chains Tribute)] @ Manchester Academy 3, Manchester — 2026-05-09
  [Sounds Garden (Soundgarden Tribute)] @ Manchester Academy 3, Manchester — 2026-05-09
  [Lights] @ Manchester Academy 3, Manchester — 2026-05-11
  [Clinton Kane] @ Manchester Academy 3, Manchester — 2026-05-14
  [Mechanical Animals Industrial Goth & Nu Metal Freakfest!] @ Manchester Academy 3, Manchester — 2026-05-15
  [Proud Mary] @ Manchester Academy 3, Manchester — 2026-05-16
  [Bella Kay] @ Manchester Academy 3, Manchester — 2026-05-17
  [Ayna] @ Manchester Academy 3, Manchester — 2026-05-23
  [XO] @ Manchester Academy 3, Manchester — 2026-05-26
  [Elio Mei] @ Manchester Academy 3, Manchester — 2026-05-27
  [Chris Grey] @ Manchester Academy 3, Manchester — 2026-05-29
  [Buckshot] @ Manchester Academy 3, Manchester — 2026-05-30
  [Naomi Jon - Strawberry Tour 2026] @ Manchester Club Academy, Manchester — 2026-04-20
  [Creeper] @ Manchester Club Academy, Manchester — 2026-04-23
  [Dragged Into Sunlight] @ Manchester Club Academy, Manchester — 2026-04-30
  [Dogma] @ Manchester Club Academy, Manchester — 2026-05-01
  [Fiinka] @ Manchester Club Academy, Manchester — 2026-05-03
  [Au/Ra] @ Manchester Club Academy, Manchester — 2026-05-09
  [LØLØ] @ Manchester Club Academy, Manchester — 2026-05-11
  [Leah Kate] @ Manchester Club Academy, Manchester — 2026-05-16
  [Plini] @ Manchester Club Academy, Manchester — 2026-05-23
  [Ghost UK & Sleep Broken] @ Manchester Club Academy, Manchester — 2026-05-29
  [The 30+ Club] @ Manchester Club Academy, Manchester — 2026-05-30
  [Justin Hayward] @ Birmingham Town Hall, Birmingham — 2026-10-05
  [Rumours of Fleetwood Mac 2026] @ Birmingham Symphony Hall, Birmingham — 2026-06-30
  [Rumours of Fleetwood Mac 2026] @ Birmingham Symphony Hall, Birmingham — 2026-07-01
  [What the World Needs Now - The Burt Bacharach Songbook] @ Birmingham Symphony Hall, Birmingham — 2026-10-08
  [Femi Kuti & The Positive Force] @ Electric Bristol, Bristol — 2026-04-23
  [Marla Kether] @ Electric Bristol, Bristol — 2026-04-23
  [Rumours of Fleetwood Mac 2026] @ Bristol Beacon, Bristol — 2026-07-09
  [John Robb: Punk Rock Ruined My Life] @ Bristol Folk House, Bristol — 2026-06-05
  [Celebrating Nat King Cole] @ St George's Bristol, Bristol — 2026-07-05
  [Cotonete] @ The Jam Jar, Bristol — 2026-05-24
  [Rumours of Fleetwood Mac 2026] @ Glasgow Royal Concert Hall, Glasgow — 2026-05-17
  [Celebrating Nat King Cole] @ Glasgow City Halls, Glasgow — 2026-06-28
  [MANILOW] @ Glasgow The OVO Hydro, Glasgow — 2026-06-09
  [Femi Kuti & The Positive Force] @ Glasgow Queen Margaret Union, Glasgow — 2026-04-26
